Title;Publication Title;Authors;Publication Year;Document Identifier;Publisher
Air Quality Management: An Exemplar for Model-Driven Digital Twin Engineering;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"H. S. Govindasamy; R. Jayaraman; B. Taspinar; D. Lehner; M. Wimmer";2021;IEEE Conferences;IEEE
The Research of Aero-engine Digital Twin Model Based on Model-driven and Data-driven Fusion Method;2021 IEEE 10th Data Driven Control and Learning Systems Conference (DDCLS);"K. Liu; P. Wang; Q. Li";2021;IEEE Conferences;IEEE
Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA );"N. Braunisch; M. Ristin-Kaufmann; R. Lehmann; H. W. van de Venn";2021;IEEE Conferences;IEEE
Models Meet Data: Challenges to Create Virtual Entities for Digital Twins;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"M. Van Den Brand; L. Cleophas; R. Gunasekaran; B. Haverkort; D. A. M. Negrin; H. M. Muctadir";2021;IEEE Conferences;IEEE
Towards a Reference Architecture for Leveraging Model Repositories for Digital Twins;2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA);"D. Lehner; S. Wolny; A. Mazak-Huemer; M. Wimmer";2020;IEEE Conferences;IEEE
Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"M. S. Bonney; M. de Angelis; D. Wagg; M. D. Borgo";2021;IEEE Conferences;IEEE
Inference of Simulation Models in Digital Twins by Reinforcement Learning;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"I. David; J. Galasso; E. Syriani";2021;IEEE Conferences;IEEE
Data- and model-driven digital twins for design and logistics control of product distribution;2021 23rd International Conference on Control Systems and Computer Science (CSCS);"M. Stan; T. Borangiu; S. R?ileanu";2021;IEEE Conferences;IEEE
A software engineering point of view on digital twin architecture;2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA);"G. BÈchu; A. Beugnard; C. G. L. Cao; Q. Perez; C. Urtado; S. Vauttier";2022;IEEE Conferences;IEEE
Using Ptolemy II as a Framework for Virtual Entity Integration and Orchestration in Digital Twins;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"D. A. M. Negrin; L. Cleophas; M. Van Den Brand";2021;IEEE Conferences;IEEE
Analysis of digital twin application of urban rail power supply system for energy saving;2021 IEEE 1st International Conference on Digital Twins and Parallel Intelligence (DTPI);"Y. Wang; G. Zhang; R. Chen; Z. Liu; R. Qiu";2021;IEEE Conferences;IEEE
Process Prediction with Digital Twins;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"T. Brockhoff; M. Heithoff; I. Koren; J. Michael; J. Pfeiffer; B. Rumpe; M. S. Uysal; W. M. P. Van Der Aalst; A. Wortmann";2021;IEEE Conferences;IEEE
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA );"D. Lehner; S. Sint; M. Vierhauser; W. Narzt; M. Wimmer";2021;IEEE Conferences;IEEE
Twin Process Model Driven Machining Quality Optimization for Complex Parts;2021 International Conference on Digital Society and Intelligent Systems (DSInS);"J. Li; G. Zhou; C. Zhang";2021;IEEE Conferences;IEEE
Integration Challenges for Digital Twin Systems-of-Systems;2022 IEEE/ACM 10th International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems (SESoS);"J. Michael; J. Pfeiffer; B. Rumpe; A. Wortmann";2022;IEEE Conferences;IEEE
Multisource Model-Driven Digital Twin System of Robotic Assembly;IEEE Systems Journal;"X. Li; B. He; Y. Zhou; G. Li";2021;IEEE Journals;IEEE
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;2023 IEEE 6th International Conference on Industrial Cyber-Physical Systems (ICPS);"Y. Huang; S. Dhouib; L. P. Medinacelli; J. Malenfant";2023;IEEE Conferences;IEEE
